id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_id
67,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,OZONE,18,25,21,NA
68,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,PM2.5,12,92,48,NA
69,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,PM10,13,137,74,NA
70,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,NO2,16,57,28,NA
71,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,NH3,3,6,4,NA
72,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,SO2,4,41,17,NA
73,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,CO,22,82,55,NA
74,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 1:00,OZONE,10,127,41,NA
75,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 1:00,PM2.5,1,94,48,NA
76,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 1:00,PM10,13,115,64,NA
77,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 1:00,NO2,12,37,20,NA
78,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 1:00,CO,30,46,41,NA
79,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",01-10-19 1:00,OZONE,7,73,20,NA
80,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,PM2.5,28,335,95,NA
81,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,PM10,19,252,98,NA
82,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,NO2,46,101,63,NA
83,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,NH3,4,8,6,NA
84,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,SO2,5,11,8,NA
85,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,CO,70,109,99,NA
86,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 1:00,OZONE,9,156,47,NA
87,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 1:00,PM10,1,137,57,NA
88,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 1:00,NO2,38,71,49,NA
